姓	名	小时工资	工作小时	工作职场	头衔	入职时间
牛	建	14.36	34	深圳南山	前端开发	2005/10/23
刘	相龙	53.67	50	南京雨花台	云平台管理	2013/07/21
边	为民	57.77	26	浦东张江	系统管理	2020/09/04
张	思聪	2.1	36	深圳南山	UI设计	2006/12/04
曹	旭东	44.86	33	浦东张江	前端开发	1998/09/02
边	一涵	58.4	28	海淀五道口	云平台管理	2000/08/22
郑	思华	44.84	45	南京雨花台	前端开发	2017/03/24
顾	倩	2.24	42	浦东陆家嘴	前端开发	2010/10/24
汤	勇	18.94	40	南京雨花台	云平台管理	2016/10/01
冯	朝晖	46.4	44	浦东陆家嘴	云平台管理	2000/04/08
杜	雷	24.42	49	海淀五道口	系统管理	2020/05/09
廖	东	25.39	28	深圳南山	系统管理	2018/05/23
严	爱国	21.8	37	浦东张江	后台开发	2006/08/21
江	雷	58.95	24	海淀五道口	前端开发	2006/05/25
张	楠	40.14	36	浦东陆家嘴	存储管理	2002/04/27
赵	吉祥	20.15	31	浦东张江	后台开发	2019/03/15
鲁	心愿	1.8	23	海淀五道口	系统管理	2018/08/27
马	茵	19.98	21	南京雨花台	产品经理	1998/01/22
石	海波	57.88	32	南京雨花台	前端开发	2016/01/20
舒	茉莉	27.88	46	浦东张江	系统管理	2002/11/24
许	建	46.76	26	南京雨花台	产品经理	2015/04/18
严	晨	43.85	35	浦东陆家嘴	后台开发	2004/02/14
肖	军	2.1	47	南京雨花台	存储管理	2004/02/23
涂	宁	0.75	43	海淀五道口	系统管理	2017/05/27
何	刚	18.62	40	海淀五道口	前端开发	2004/03/12
戴	丽	9.24	37	南京雨花台	云平台管理	2001/05/28
孙	吉祥	7.57	45	浦东张江	DBA	2018/06/03
戴	为民	43.24	25	浦东张江	DBA	2002/06/04
袁	丽亚	44.72	21	南京雨花台	后台开发	2011/10/24
马	刚	43.85	42	深圳南山	前端开发	2016/08/11
岳	明	33.93	38	南京雨花台	后台开发	2001/06/13
魏	琦	52.77	39	浦东张江	前端开发	2005/08/23
赵	军	17.64	26	深圳南山	前端开发	2017/10/03
周	军	9.51	20	浦东陆家嘴	产品经理	2021/10/26
彭	茹云	53.78	39	浦东张江	UI设计	2021/06/03
孔	刚	50.32	37	海淀五道口	DBA	2007/03/20
邹	雷	10.14	22	海淀五道口	后台开发	2022/02/07
江	华健	30.36	50	海淀五道口	存储管理	2010/10/08
钱	薇亚	8.53	45	深圳南山	系统管理	2016/10/02
唐	相龙	53.73	39	南京雨花台	DBA	2022/06/23
林	茹云	14.27	37	海淀五道口	存储管理	2011/02/26
冯	飞	5.73	34	海淀五道口	产品经理	2018/10/08
舒	欢	59.38	22	海淀五道口	DBA	2015/03/06
孔	建刚	45.97	28	浦东陆家嘴	云平台管理	2017/01/04
袁	新海	40.5	23	浦东陆家嘴	DBA	2021/07/07
陈	晨	34.25	33	浦东陆家嘴	后台开发	2003/08/13
曾	思聪	43.41	36	浦东张江	产品经理	2014/10/16
杜	文杰	54.83	21	浦东陆家嘴	产品经理	2001/05/07
顾	新力	14.82	46	深圳南山	DBA	2015/09/18
姜	炜	43.2	28	海淀五道口	UI设计	2022/10/27
齐	刚	33.0	35	深圳南山	后台开发	2005/12/26
彭	子轩	53.81	49	浦东张江	DBA	2011/06/04
陈	松涛	3.35	24	浦东陆家嘴	系统管理	2004/10/04
李	楠	24.15	21	浦东陆家嘴	前端开发	2014/10/23
魏	明	35.73	27	浦东张江	DBA	2002/07/12
林	腾	28.56	22	深圳南山	后台开发	2002/03/21
王	飞	55.6	24	深圳南山	产品经理	2015/09/23
曹	一涵	4.6	26	深圳南山	产品经理	2011/04/01
杨	建刚	44.95	50	浦东陆家嘴	云平台管理	1999/04/13
林	雷	4.77	25	浦东陆家嘴	UI设计	2020/04/26
马	宇进	50.62	30	浦东张江	云平台管理	1998/12/21
高	鑫	14.71	31	深圳南山	前端开发	2016/05/08
肖	飞	29.37	42	南京雨花台	产品经理	2014/06/01
何	一涵	51.63	31	浦东陆家嘴	存储管理	2013/07/04
马	国贤	38.45	29	深圳南山	后台开发	2004/02/20
蒋	旭	26.5	48	浦东张江	系统管理	2016/03/25
唐	倩	40.68	24	海淀五道口	云平台管理	2016/02/08
陈	爱国	20.35	49	深圳南山	DBA	2008/11/09
柳	爱国	58.8	21	深圳南山	后台开发	2015/03/11
姜	彪	24.29	25	海淀五道口	产品经理	2004/04/19
竺	琦	7.5	50	海淀五道口	DBA	2011/10/13
郑	宁	38.72	50	南京雨花台	系统管理	2006/09/02
彭	一涵	51.49	49	浦东张江	存储管理	2007/12/12
郭	茉莉	9.61	29	深圳南山	产品经理	2013/08/02
蒋	相龙	53.75	39	深圳南山	前端开发	2008/10/15
魏	新力	47.15	23	深圳南山	产品经理	2003/05/28
邹	倩	47.0	49	南京雨花台	DBA	2008/05/10
柳	宁	17.12	35	南京雨花台	DBA	2008/11/22
鲁	宁	28.12	49	深圳南山	前端开发	2020/01/11
孔	强	13.64	30	深圳南山	后台开发	2020/09/10
陆	磊	23.57	40	深圳南山	产品经理	2015/07/08
朱	建刚	27.61	26	浦东张江	UI设计	2004/08/16
周	思聪	22.6	40	南京雨花台	存储管理	2020/07/03
李	为民	19.13	47	浦东张江	系统管理	2011/08/09
齐	东	20.65	35	浦东陆家嘴	前端开发	1998/06/08
牛	欣	59.92	32	深圳南山	云平台管理	2006/06/03
杨	强	24.97	20	南京雨花台	UI设计	2021/06/16
岳	聪	34.43	23	南京雨花台	云平台管理	2001/11/12
赵	子轩	18.22	22	深圳南山	后台开发	2010/03/02
汤	朝晖	1.15	33	海淀五道口	前端开发	2004/07/18
竺	健	49.72	26	南京雨花台	前端开发	2007/06/06
严	聪	3.78	33	南京雨花台	前端开发	2000/09/24
许	鑫	32.19	45	海淀五道口	DBA	2006/10/25
汤	旭东	16.14	28	海淀五道口	存储管理	2002/09/20
孔	相龙	21.59	30	浦东张江	产品经理	2009/02/19
竺	国贤	1.6	45	浦东陆家嘴	UI设计	2008/05/21
谢	欢	5.28	35	浦东陆家嘴	后台开发	2018/09/06
华	娟	58.58	43	南京雨花台	存储管理	2008/07/27
华	思聪	42.98	20	南京雨花台	云平台管理	2007/12/25
牛	茉莉	38.98	50	深圳南山	系统管理	2011/02/23
岳	爱国	37.91	24	南京雨花台	存储管理	2008/01/16
蒋	聪	28.1	32	海淀五道口	产品经理	2019/07/16
曾	茹云	13.5	40	深圳南山	系统管理	2010/03/26
白	明	57.75	43	浦东张江	系统管理	2002/11/04
邹	欣	33.66	31	浦东张江	存储管理	2004/09/04
高	东	14.4	21	南京雨花台	后台开发	2008/01/12
华	朝晖	55.3	25	浦东陆家嘴	前端开发	2011/06/28
唐	勇	56.76	30	深圳南山	DBA	2011/06/26
郭	松涛	45.75	24	深圳南山	后台开发	2012/10/11
曾	心愿	4.57	27	南京雨花台	系统管理	2014/10/05
赵	娟	26.97	30	深圳南山	存储管理	2022/09/26
舒	磊	23.18	47	深圳南山	DBA	2010/09/23
石	新力	55.7	22	海淀五道口	DBA	2011/09/06
舒	炜	60.0	38	深圳南山	后台开发	2021/06/22
严	一涵	42.48	31	南京雨花台	后台开发	2020/02/01
叶	茉莉	30.41	34	海淀五道口	DBA	2000/09/25
赵	昕	51.24	43	浦东张江	DBA	2014/08/16
何	伟敏	55.44	24	深圳南山	云平台管理	2001/12/28
叶	楠	51.76	29	深圳南山	UI设计	2000/09/02
冯	文杰	42.61	25	海淀五道口	产品经理	2005/07/17
汤	思聪	26.42	37	浦东张江	后台开发	2019/11/09
齐	旭东	33.99	43	浦东陆家嘴	系统管理	2016/07/04
唐	茵	32.73	42	深圳南山	DBA	2019/02/06
刘	思华	21.14	33	浦东张江	后台开发	1999/08/22
夏	磊	58.31	46	深圳南山	产品经理	2006/04/01
陆	倩	14.81	20	深圳南山	云平台管理	2016/06/12
姜	薇亚	19.39	24	深圳南山	存储管理	2000/08/27
高	思华	20.23	29	浦东张江	UI设计	2020/06/13
岳	建刚	20.64	49	浦东陆家嘴	DBA	2007/07/10
黄	文杰	49.28	31	浦东张江	云平台管理	2005/08/15
徐	宇进	38.41	45	南京雨花台	前端开发	2015/10/27
徐	爱国	42.4	43	浦东陆家嘴	存储管理	2000/02/19
华	一涵	0.64	41	浦东张江	产品经理	2000/11/05
曹	刚	60.26	37	深圳南山	UI设计	2011/02/25
魏	一涵	43.96	30	海淀五道口	系统管理	2019/02/13
廖	丹丹	4.21	28	南京雨花台	DBA	2014/03/01
肖	琦	8.59	34	浦东陆家嘴	存储管理	2002/03/07
汤	阳	5.88	33	海淀五道口	后台开发	2021/10/19
张	东	10.88	33	深圳南山	系统管理	1998/03/24
王	旭	8.97	40	海淀五道口	云平台管理	2014/04/07
张	薇亚	10.34	34	海淀五道口	DBA	2004/08/21
徐	磊	10.38	48	深圳南山	产品经理	2018/01/27
王	炜	52.85	23	南京雨花台	系统管理	2000/02/19
蒋	建刚	60.81	26	浦东陆家嘴	云平台管理	2014/02/12
祝	美雅	60.91	23	浦东张江	后台开发	1999/07/13
袁	海波	49.42	43	浦东张江	前端开发	2015/02/22
彭	美雅	35.53	32	海淀五道口	后台开发	2020/06/21
姜	娟	27.94	35	浦东陆家嘴	产品经理	1998/04/28
冯	健林	15.99	41	浦东陆家嘴	云平台管理	2021/10/24
舒	爱国	29.54	34	南京雨花台	存储管理	2020/03/04
江	彪	50.63	46	浦东陆家嘴	产品经理	2021/10/07
马	鑫	14.5	33	南京雨花台	DBA	1999/02/27
周	琦	37.91	33	深圳南山	后台开发	2012/06/24
柳	一涵	46.9	29	浦东陆家嘴	存储管理	2009/03/01
李	薇亚	18.62	35	海淀五道口	系统管理	1998/09/13
严	新海	54.93	25	深圳南山	UI设计	2005/12/27
石	伟敏	56.56	42	海淀五道口	后台开发	2018/01/19
鲁	新力	44.69	27	南京雨花台	云平台管理	2020/02/24
张	倩	6.85	23	浦东陆家嘴	存储管理	2013/09/16
柳	阳	1.75	44	南京雨花台	前端开发	2004/09/12
岳	丽	33.79	36	深圳南山	产品经理	2000/07/18
钱	思华	12.75	36	深圳南山	后台开发	2015/04/01
张	海峰	32.72	34	南京雨花台	DBA	2016/12/23
廖	一涵	36.35	23	浦东陆家嘴	UI设计	1999/09/26
薛	雷	8.2	39	南京雨花台	后台开发	2008/12/04
袁	茹云	56.33	50	南京雨花台	产品经理	2002/09/20
赵	飞	5.74	38	浦东陆家嘴	DBA	1998/10/11
朱	一涵	8.8	26	浦东张江	存储管理	2004/01/19
谢	伟敏	42.8	49	浦东陆家嘴	DBA	2019/09/27
赵	欣	43.89	31	浦东张江	DBA	2021/04/22
何	阳	37.78	32	深圳南山	DBA	2004/05/10
魏	捷	21.26	23	海淀五道口	DBA	2008/06/22
舒	宁	0.17	42	海淀五道口	DBA	2022/11/20
徐	捷	1.4	34	南京雨花台	产品经理	2007/07/09
涂	捷	5.87	41	南京雨花台	存储管理	2020/03/28
岳	宇进	18.69	31	南京雨花台	存储管理	2019/06/09
钱	心愿	56.62	32	海淀五道口	后台开发	2020/01/19
廖	新力	59.39	27	深圳南山	产品经理	2007/12/15
蒋	爱国	38.34	48	深圳南山	UI设计	2011/01/25
袁	强	6.18	43	南京雨花台	DBA	2007/12/16
马	茉莉	6.4	44	浦东张江	UI设计	2022/06/09
戴	华健	53.76	46	浦东陆家嘴	DBA	2022/06/02
谢	建刚	2.27	30	海淀五道口	系统管理	1999/07/11
鲁	建	13.4	38	海淀五道口	后台开发	2014/03/14
周	为民	30.53	21	浦东陆家嘴	DBA	2004/11/02
孙	娟	58.43	30	浦东张江	后台开发	2016/01/18
林	新力	49.14	42	海淀五道口	产品经理	2002/10/16
杜	欣	38.75	33	浦东陆家嘴	DBA	2004/10/10
吴	明	7.83	44	海淀五道口	前端开发	2021/03/14
王	为民	39.4	45	深圳南山	DBA	2014/01/19
顾	明	11.22	34	浦东张江	UI设计	1999/04/05
涂	海峰	39.16	27	浦东陆家嘴	后台开发	2014/06/17
朱	晨	58.94	25	深圳南山	产品经理	2008/03/27
冯	明	22.55	26	浦东陆家嘴	DBA	2012/09/22
陈	新海	54.74	27	浦东张江	后台开发	2020/06/17
汤	茵	9.83	45	南京雨花台	存储管理	2015/02/16
肖	心愿	59.6	40	南京雨花台	系统管理	2005/04/05
柳	正	49.8	21	深圳南山	产品经理	2012/03/12
杜	琦	58.4	48	浦东张江	UI设计	2018/06/13
华	聪	1.94	48	浦东张江	系统管理	2000/10/20
黄	吉祥	32.11	22	浦东张江	存储管理	2021/11/16
叶	朝晖	7.98	33	南京雨花台	存储管理	2019/02/21
孔	彪	10.1	23	海淀五道口	产品经理	2005/02/12
杜	茹云	46.82	44	浦东张江	后台开发	2020/12/01
许	腾	43.78	34	深圳南山	DBA	1999/08/03
曾	鑫	55.43	24	深圳南山	前端开发	2019/02/05
谢	捷	33.16	29	浦东张江	DBA	2003/05/27
吴	强	26.6	41	深圳南山	系统管理	2014/12/27
徐	茹云	54.32	35	海淀五道口	DBA	2000/10/18
彭	思聪	53.15	33	浦东张江	存储管理	2019/01/09
白	强	53.81	42	海淀五道口	后台开发	1998/07/28
廖	丽亚	40.3	22	海淀五道口	产品经理	2012/05/14
涂	丹丹	1.86	33	深圳南山	系统管理	2019/06/09
汤	军	51.82	47	浦东张江	前端开发	2015/02/26
周	飞	60.76	29	深圳南山	存储管理	2008/08/17
赵	相龙	22.56	32	浦东陆家嘴	系统管理	2021/09/07
冯	丹丹	21.29	36	海淀五道口	后台开发	2011/06/02
石	旭	17.31	26	浦东张江	云平台管理	2011/09/03
赵	国贤	18.17	31	浦东张江	后台开发	2000/10/19
朱	昕	18.47	48	南京雨花台	产品经理	2014/12/08
边	华世	58.11	40	海淀五道口	DBA	2007/08/19
戴	华世	23.73	37	浦东张江	系统管理	2016/01/01
严	建	4.82	44	深圳南山	UI设计	2003/06/01
肖	欣	40.81	38	深圳南山	系统管理	2014/04/01
石	松涛	1.0	20	浦东张江	存储管理	2009/07/20
边	琴	24.39	31	海淀五道口	产品经理	2000/02/01
唐	为民	57.52	46	浦东陆家嘴	存储管理	2004/05/19
姜	丹丹	2.92	43	浦东陆家嘴	系统管理	1999/08/04
周	华世	16.54	32	浦东陆家嘴	存储管理	2021/09/26
马	健林	1.93	48	浦东张江	UI设计	2018/01/24
蒋	军	59.31	47	浦东陆家嘴	UI设计	1999/11/13
陈	楠	59.45	25	海淀五道口	系统管理	2002/05/05
蒋	文杰	35.2	47	深圳南山	DBA	2010/10/05
冯	彪	43.15	49	南京雨花台	DBA	2008/10/03
钱	伟敏	10.13	23	深圳南山	UI设计	2021/11/06
夏	腾	14.4	35	海淀五道口	后台开发	2000/09/19
郭	雷	14.12	30	浦东张江	存储管理	2000/01/19
岳	国贤	14.88	43	浦东陆家嘴	DBA	2020/05/19
陈	雷	56.87	42	深圳南山	存储管理	2020/08/22
魏	健	49.77	33	浦东张江	系统管理	2022/10/10
许	旭	33.32	45	浦东张江	产品经理	2009/08/10
戴	琴	40.48	49	深圳南山	后台开发	2019/12/21
舒	薇亚	16.44	31	浦东陆家嘴	存储管理	2011/02/25
何	宇进	48.61	46	南京雨花台	DBA	2019/10/25
江	丽	57.57	22	海淀五道口	UI设计	2007/11/21
高	聪	24.54	41	浦东张江	系统管理	2010/06/12
严	茉莉	7.38	35	浦东陆家嘴	DBA	2012/09/12
张	一涵	34.13	40	浦东陆家嘴	前端开发	2017/03/06
江	炜	14.46	27	南京雨花台	存储管理	2003/08/22
华	吉祥	2.14	35	浦东陆家嘴	云平台管理	2010/10/10
华	茉莉	50.0	29	浦东陆家嘴	系统管理	2014/10/01
王	捷	37.2	25	浦东张江	DBA	2018/08/14
郑	东	39.7	26	浦东陆家嘴	DBA	2003/05/10
齐	军	18.51	31	浦东陆家嘴	产品经理	2021/12/26
顾	建	48.9	43	海淀五道口	云平台管理	2007/07/28
钱	丽亚	21.91	35	深圳南山	DBA	2012/09/19
杨	正	39.33	39	深圳南山	DBA	2022/04/04
林	倩	49.28	49	海淀五道口	DBA	2013/04/12
严	宁	5.85	22	海淀五道口	存储管理	2022/12/08
牛	为民	41.13	50	深圳南山	云平台管理	2018/05/22
夏	茉莉	15.55	25	海淀五道口	DBA	1998/07/28
高	雷	1.97	36	海淀五道口	产品经理	1998/02/02
顾	国贤	57.2	48	南京雨花台	云平台管理	1999/12/28
边	美雅	24.22	33	南京雨花台	DBA	2021/01/16
江	文杰	38.18	40	南京雨花台	存储管理	2004/06/19
袁	薇亚	18.81	27	海淀五道口	后台开发	2000/10/05
薛	松涛	3.2	49	海淀五道口	产品经理	2003/06/19
唐	丽	55.74	39	浦东陆家嘴	前端开发	2017/05/24
陈	飞	37.13	25	南京雨花台	云平台管理	2015/05/13
谢	海峰	19.95	32	浦东陆家嘴	系统管理	2005/11/07
周	强	41.31	47	浦东陆家嘴	产品经理	2016/04/06
唐	丽亚	26.57	22	海淀五道口	UI设计	2011/09/12
杜	正	59.2	42	海淀五道口	存储管理	2000/06/12
张	飞	7.76	34	深圳南山	DBA	2017/03/12
钱	雷	1.64	35	浦东陆家嘴	后台开发	2016/10/19
边	新海	1.29	27	浦东张江	DBA	2022/03/17
陆	勇	46.75	26	浦东张江	系统管理	2015/09/17
江	华世	5.93	20	浦东张江	DBA	2007/11/16
郭	捷	24.14	22	深圳南山	UI设计	2003/04/20
陈	琴	49.33	25	海淀五道口	UI设计	2021/08/21
吴	娟	60.12	45	南京雨花台	UI设计	2018/04/02
叶	聪	24.7	45	深圳南山	存储管理	2022/10/08
汤	丽	56.7	20	深圳南山	云平台管理	2020/10/03
徐	文杰	9.13	41	海淀五道口	后台开发	2009/09/04
陆	吉祥	47.43	20	海淀五道口	系统管理	2004/04/26
竺	爱国	55.59	33	浦东张江	前端开发	2017/10/23
石	昕	56.93	43	南京雨花台	后台开发	2016/09/06
吴	茹云	59.96	39	浦东张江	存储管理	2017/08/19
顾	茉莉	29.5	30	浦东陆家嘴	云平台管理	2016/11/06
祝	强	16.83	23	浦东张江	后台开发	2010/07/23
张	相龙	21.31	50	浦东张江	UI设计	2011/10/07
谢	思聪	30.28	23	浦东张江	前端开发	2015/02/20
齐	炜	53.73	48	浦东陆家嘴	前端开发	2011/08/12
涂	琦	40.46	47	浦东张江	后台开发	2021/02/19
赵	琦	14.88	29	南京雨花台	存储管理	2015/10/08
白	琦	47.11	21	深圳南山	系统管理	2002/03/08
边	聪	17.8	31	南京雨花台	后台开发	2021/01/17
鲁	伟敏	59.86	30	浦东陆家嘴	云平台管理	2018/04/06
卢	波	24.29	45	南京雨花台	后台开发	2022/10/13
鲁	琦	60.19	26	深圳南山	产品经理	2012/11/24
郭	文杰	57.42	49	深圳南山	UI设计	2007/05/09
涂	欣	31.37	45	浦东陆家嘴	产品经理	2013/10/05
吴	松涛	56.9	21	南京雨花台	UI设计	2017/01/17
牛	新海	3.16	30	南京雨花台	云平台管理	2005/01/07
朱	东	52.65	43	南京雨花台	云平台管理	2019/04/04
石	心愿	54.95	48	浦东陆家嘴	系统管理	2002/10/05
顾	吉祥	47.21	30	浦东张江	系统管理	2002/02/17
唐	琦	31.8	27	南京雨花台	产品经理	2015/05/24
谢	国贤	45.36	49	海淀五道口	存储管理	2011/08/17
石	楠	42.29	46	浦东陆家嘴	系统管理	2022/11/18
赵	聪	34.45	40	南京雨花台	云平台管理	2006/09/06
肖	美雅	4.86	43	深圳南山	UI设计	2016/03/20
郑	丹丹	38.32	38	浦东张江	存储管理	2002/05/08
李	建刚	34.38	44	南京雨花台	存储管理	2007/03/27
夏	波	6.7	45	深圳南山	产品经理	1998/03/27
彭	欣	42.5	49	海淀五道口	后台开发	2018/11/25
卢	思聪	59.32	42	浦东陆家嘴	系统管理	2015/10/20
陆	健	24.83	22	南京雨花台	云平台管理	2019/09/25
孔	勇	51.53	20	南京雨花台	存储管理	2004/02/13
魏	相龙	9.93	48	海淀五道口	DBA	2015/07/27
魏	茹云	42.6	30	海淀五道口	云平台管理	2019/08/15
蒋	茉莉	10.3	39	浦东张江	前端开发	2003/11/01
朱	欢	36.42	24	南京雨花台	UI设计	2012/11/24
唐	明	40.37	28	南京雨花台	云平台管理	2011/09/14
汤	相龙	10.19	24	浦东陆家嘴	存储管理	2000/04/08
李	明	3.77	44	浦东陆家嘴	DBA	2011/09/15
华	伟敏	49.43	24	深圳南山	UI设计	2005/09/27
戴	松涛	35.33	20	南京雨花台	产品经理	2015/04/16
涂	明	29.61	28	浦东张江	云平台管理	2021/05/18
夏	思华	20.98	49	深圳南山	前端开发	1998/09/01
涂	茉莉	6.88	27	深圳南山	产品经理	2014/01/01
高	彪	44.75	26	海淀五道口	云平台管理	2020/02/24
袁	波	15.2	21	海淀五道口	UI设计	2018/04/03
马	晨	6.44	21	浦东陆家嘴	UI设计	2002/09/11
杨	旭东	10.68	50	深圳南山	前端开发	2005/12/11
严	健	24.47	21	南京雨花台	产品经理	2000/10/11
孙	琦	15.17	29	南京雨花台	系统管理	2021/04/18
高	建	50.25	26	深圳南山	后台开发	2005/12/22
祝	腾	53.37	37	深圳南山	UI设计	2014/02/15
黄	丹丹	47.43	34	海淀五道口	DBA	2022/06/18
汤	聪	49.51	22	南京雨花台	DBA	2014/04/06
邹	爱国	23.78	39	浦东张江	产品经理	2002/02/02
廖	华世	21.39	50	南京雨花台	前端开发	2007/06/03
夏	爱国	7.43	45	浦东张江	系统管理	2022/04/15
彭	明	14.49	23	南京雨花台	云平台管理	2004/09/07
赵	新力	28.8	25	深圳南山	UI设计	1998/02/15
牛	明	8.89	50	浦东陆家嘴	系统管理	1998/08/25
李	朝晖	47.5	37	浦东陆家嘴	前端开发	2010/12/22
邹	军	12.79	36	浦东张江	存储管理	1999/07/20
岳	琦	1.13	39	浦东陆家嘴	系统管理	2020/03/28
王	健	27.82	20	海淀五道口	系统管理	2012/06/07
白	华健	11.94	25	深圳南山	前端开发	2003/10/27
马	倩	1.34	40	深圳南山	产品经理	2016/05/19
岳	刚	34.81	47	南京雨花台	系统管理	2001/10/17
徐	茉莉	41.52	26	海淀五道口	前端开发	2003/05/01
孔	海峰	32.8	47	浦东陆家嘴	DBA	2009/03/15
杜	飞	54.29	44	海淀五道口	产品经理	2002/01/05
叶	海峰	17.1	22	海淀五道口	前端开发	2003/07/02
谢	华世	12.3	24	南京雨花台	UI设计	2011/05/04
刘	健林	1.39	21	海淀五道口	前端开发	2014/03/09
孙	捷	19.97	44	南京雨花台	前端开发	2022/08/07
廖	薇亚	47.22	36	南京雨花台	后台开发	2008/10/12
江	强	4.19	49	深圳南山	产品经理	2012/11/21
牛	文杰	0.86	20	浦东张江	存储管理	2006/03/19
柳	思华	29.59	44	南京雨花台	产品经理	2012/02/21
涂	欢	54.11	44	深圳南山	存储管理	2021/05/24
唐	华健	53.17	32	海淀五道口	云平台管理	2011/05/28
陈	捷	58.35	37	浦东陆家嘴	存储管理	2009/01/28
石	琴	48.93	23	海淀五道口	UI设计	2022/03/19
朱	宁	2.3	49	南京雨花台	系统管理	2019/11/17
夏	美雅	22.62	48	海淀五道口	前端开发	2022/02/22
徐	彪	25.98	45	浦东陆家嘴	UI设计	1998/03/12
柳	丹丹	35.99	47	海淀五道口	后台开发	2007/05/06
廖	彪	56.33	32	浦东陆家嘴	云平台管理	2008/03/15
唐	茹云	33.1	41	浦东陆家嘴	UI设计	2013/05/04
刘	琦	54.61	50	浦东张江	存储管理	2012/06/10
夏	文杰	40.18	23	海淀五道口	DBA	2012/02/05
吴	晨	35.15	36	海淀五道口	系统管理	1998/12/09
边	华健	21.62	35	浦东张江	存储管理	2022/06/28
钱	建刚	3.65	38	深圳南山	UI设计	2014/03/21
刘	茵	32.17	35	深圳南山	存储管理	2008/03/12
鲁	阳	16.91	38	浦东陆家嘴	UI设计	1998/06/19
肖	爱国	4.95	43	南京雨花台	产品经理	2018/09/14
戴	茉莉	37.0	42	浦东张江	前端开发	2022/12/15
彭	旭东	16.64	31	南京雨花台	后台开发	2006/08/19
牛	腾	17.1	40	深圳南山	DBA	2003/12/18
李	倩	30.56	26	浦东张江	系统管理	2017/03/16
姜	吉祥	12.4	45	浦东张江	后台开发	2008/03/17
许	彪	13.29	41	深圳南山	后台开发	2017/10/10
边	宁	7.26	43	南京雨花台	存储管理	2011/08/04
郭	彪	19.93	48	浦东陆家嘴	前端开发	2018/02/27
顾	雷	23.64	38	浦东张江	前端开发	2018/02/05
姜	宁	27.29	39	浦东陆家嘴	DBA	2012/10/14
杜	海峰	49.49	33	浦东张江	DBA	2011/02/21
李	娟	9.51	49	浦东陆家嘴	DBA	2015/05/12
竺	思聪	10.24	39	南京雨花台	UI设计	2013/03/12
郑	强	44.5	24	浦东张江	系统管理	2013/09/01
岳	旭东	8.62	31	深圳南山	前端开发	2006/02/16
曾	伟敏	3.34	28	深圳南山	前端开发	2013/04/23
徐	正	47.39	43	海淀五道口	DBA	2003/02/13
蒋	阳	53.44	28	浦东陆家嘴	云平台管理	2006/12/08
江	磊	60.16	37	深圳南山	DBA	2005/02/26
朱	军	35.97	33	南京雨花台	产品经理	2007/03/27
陆	炜	7.62	49	深圳南山	存储管理	2018/03/28
汤	健	26.9	50	南京雨花台	系统管理	2008/11/14
唐	晨	33.92	49	海淀五道口	系统管理	2004/10/03
王	雷	8.55	33	南京雨花台	UI设计	2002/02/09
朱	吉祥	6.86	44	海淀五道口	前端开发	2022/03/13
